tag	addition	groups	positions
calung|cal|ca		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[CALUNG]
cengceng|ceng|ce		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[CENGCENG]
gangsa|gang|ga		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[PEMADE_POLOS, PEMADE_SANGSIH, KANTILAN_POLOS, KANTILAN_SANGSIH]
gangsa|ga	polos|po|p	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[PEMADE_POLOS, KANTILAN_POLOS]
gangsa|ga	sangsih|sang|sa|s	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[PEMADE_SANGSIH, KANTILAN_SANGSIH]
gender|gen|ge		[GENDER_WAYANG]	[GENDERWAYANG_POLOS, GENDERWAYANG_SANGSIH]
gender|gen|ge	polos|pol|po|p	[GENDER_WAYANG]	[GENDERWAYANG_POLOS]
gender|gen|ge	sangsih|sang|sa|s	[GENDER_WAYANG]	[GENDERWAYANG_SANGSIH]
genderrambat|gender|gen|ge		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[GENDERRAMBAT]
gong|go		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[GONGS]
gying|gy		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[UGAL]
jegogan|jegog|jeg|je		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[JEGOGAN]
jublag|jub|ju|calung|cal|ca		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[CALUNG]
kantilan|kan|ka		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[KANTILAN_POLOS, KANTILAN_SANGSIH]
kantilan|kan|ka	polos|pol|po|p	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[KANTILAN_POLOS]
kempli|kem|ke		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[KEMPLI]
kendang|kend|kd		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[KENDANG]
pemade|pem|pe		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[PEMADE_POLOS, PEMADE_SANGSIH]
pemade|pem|pe	polos|pol|po|p	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[PEMADE_POLOS]
penyacah|peny|pen		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[PENYACAH]
reyong|rey|re		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_1, REYONG_2, REYONG_3, REYONG_4]
reyong|rey|re	1	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_1]
reyong|rey|re	2	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_2]
reyong|rey|re	3	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_3]
reyong|rey|re	4	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_4]
reyong|rey|re	12|1+2	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_1, REYONG_2]
reyong|rey|re	13|1+3	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_1, REYONG_3]
reyong|rey|re	24|2+4	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_2, REYONG_4]
reyong|rey|re	34|3+4	[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[REYONG_3, REYONG_4]
suling|sul|su		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[SULING]
trompong|tromp|tro|tr		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[TROMPONG]
ugal|ug		[GONG_KEBYAR, SEMAR_PAGULINGAN, GONG_PELEGONGAN]	[UGAL]
